기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부(1/2),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,lng,lat,작업시간
A1100128,"서울특별시 강북구 도봉로 155, 서울민병원 (미아동)",B,병원,G099,응급의료기관 이외,2,"월 2회 수요일, 예약자에 한해 야간 진료(18:00~21:00) 운영 일요일: 응급/예약 수술 08/15 광복절 휴무","24시간 응급수술 (충수염, 담낭염 등) 시행 가능",미아역5번출구,민병원,02-982-3114,02-2007-1118,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,900,900,11,71,127.0272804,37.62261644,15:21.0
A1119268,"서울특별시 송파구 정의로8길 7, 한스빌딩 1~4층 (문정동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,진료시간 유동적이므로 전화 후 방문 필요함.,2호선 교대역 1번 출구 인근,민트병원,02-2088-3000,02-2007-1118,1730,1730,1730,1730,1730,1300,1530,1830,830,830,830,830,830,900,1000,900,58,36,127.1159205,37.48621391,15:21.0
A1100150,"서울특별시 도봉구 도봉로 628 (창동, 바로선병원)",B,병원,G099,응급의료기관 이외,2,"내과진료 및 건강검진은 평일 08:00 ~ 18:00, 토요일 08:00 ~ 13:00 08/15 광복절 휴무",4대센터 운영 - 척추센터 관절센터 재활센터 검진센터,서울가인초등학교 인근,바로선병원,02-1666-5853,02-2007-1118,1800,1800,1800,1800,1800,1300,1500,1800,900,900,900,900,900,900,930,900,13,97,127.0421136,37.66034188,15:21.0
A1100099,서울특별시 광진구 천호대로 630 (능동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,"관절척추 맞춤형치료 바른본병원 국소마취 관절내시경, 인공관절, 척추 비수술, 무지외반증",아차산역 5번 출구에서 약 285m에 위치,바른본병원,02-1577-9844,02-2007-1118,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,900,900,49,87,127.0871709,37.55379861,15:21.0
A1122411,"서울특별시 관악구 신원로 35, 삼모 더 프라임 타워 3,7층 (신림동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,바른사랑병원입니다 어깨 족부 및 척추관절 병원입니다.정형외과 신경외과 진료 가능 X-RAY.MRI 검사 가능 외상환자 수술가능. 병실 35BED.정형외과 신경외과  영상의학과,잠실홈플러스 4층,바른사랑병원,02-878-8875,02-2007-1118,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,900,900,87,76,126.9290234,37.48231224,15:21.0
A1100153,"서울특별시 중구 동호로 202, 반도정형외과 (신당동)",B,병원,G099,응급의료기관 이외,2,"평일 야간 물리치료 19시까지, 토요일 물리치료 14시까지, 공휴일 물리치료 오후13시까지 일요일 및 야간진료 없음","야간 X-ray, CT, MRI 요일마다 검사가능 여부가 다늘 수 있어 전화확인 하여야함",약수역 1번 출구,반도정형외과병원,02-2252-0202,02-2007-1118,1800,1800,1800,1800,1800,1300,1300,1200,900,900,900,900,900,900,900,900,46,7,127.0101104,37.5559932,15:22.0
A1100157,"서울특별시 강서구 양천로 92, 지하1, 지상1~6층 층호 (방화동, 방화정형외과)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,공휴일 진료시간 불규칙 전화확인 필요,"방화사거리 신방화사거리 중간지점(방화역 2번출구, 개화산역 2번출구에서 10분소요)",방화병원,02-2666-7582,02-2007-1118,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,900,900,76,4,126.8139981,37.57323669,15:22.0
A1100131,"서울특별시 노원구 동일로 989, 1~9층 (공릉동)",B,병원,G099,응급의료기관 이외,2,검진센터 07:30부터 운영 24시간 야간 진료 운영,"관절, 척추, 신경과, 내과, 건강검진, 24시 응급 진료",태릉입구역 2번 출구,방병원,1577-4447,02-2007-1118,2400,2400,2400,2400,2400,2400,2400,2400,830,830,830,830,830,0,0,830,18,61,127.0750336,37.61840227,15:22.0
A1100202,서울특별시 은평구 은평로 133 (응암동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,"어짊을 행하여 건강이라는 보물을 나눠드리겠습니다. 오직, 당신만을 위한 진료",역촌역 4번 출구,본서부병원,02-3156-5000,02-2007-1118,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,1000,1000,34,60,126.9225916,37.60093236,15:23.0
A1100036,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",A,종합병원,G007,지역응급의료기관,1,점심시간 12:30~14:00,"내과, 소아과, 이비인후과, 피부과",제기동역 2번 출구,부민병원,1577-7582,02-2620-0119,1800,1700,1700,1700,1700,1300,1700,1400,900,900,900,900,900,900,1300,900,75,90,126.8509495,37.55694089,15:23.0
A1100080,"서울특별시 강남구 논현로 627, 유현빌딩 지하2,1~9,12층 (논현동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,비앤씨피부과의원 건대점,언주역 : 2번 출구 도보 5분거리 학동역 : 4번 출구에서 480M (뉴힐탑호텔에서 200M),비에비스나무병원,1577-7502,02-2620-0119,1700,1700,1700,1700,1700,1300,1500,1500,800,800,800,800,800,800,1000,1000,61,17,127.0323568,37.50955953,15:23.0
A1123389,"서울특별시 강서구 강서로 323, 4~8층 (내발산동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,일반진료 / 피부미용진료 /,언주역 : 2번 출구 도보 5분거리 학동역 : 4번 출구에서 480M (뉴힐탑호텔에서 200M),비에스코아이비인후과병원,02-6953-8226,02-2620-0119,1830,1830,1830,1830,1830,1530,1500,1500,900,900,900,900,900,900,1000,1000,76,32,126.8365536,37.55467046,15:23.0
A1116072,"서울특별시 송파구 백제고분로 405, 유니온테크송파빌딩 (송파동)",B,병원,G099,응급의료기관 이외,2,점심시간 13:00~14:00,피부과,석촌역 2번 출구 5분거리,빠른병원,02-423-8288,02-2620-0119,2400,2400,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0,0,56,21,127.1096861,37.50746658,15:23.0
A1100148,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",B,병원,G009,응급실운영신고기관,1,평일야간/일요일/공휴일 - 응급실 진료 가능,건강검진실/인공신장실 운영 보훈위탁병원 자보/산재 지정병원,2호선 서울대입구역 1번출구 200m,사랑의병원,02-880-0114,02-880-0119,1800,1800,1800,1800,1800,1300,1700,1230,900,900,900,900,900,900,900,900,87,89,126.9562858,37.47962478,15:23.0
A1100102,서울특별시 강동구 양재대로 1580 (명일동),B,병원,G099,응급의료기관 이외,2,사랑플러스병원건강증진센터 월 08:30 - 17:30 화 08:30 - 17:30 수 08:30 - 17:30 목 08:30 - 17:30 금 08:30 - 17:30 토 08:30 - 12:30 점심시간(평일) 12:30~13:30 08/15 광복절 휴무,"서울시 강동구 굽은다리역에 위치한 사랑플러스병원은 보건복지인증 의료기관으로 로봇인공관절/척추수술 통합 의료기관입니다. 고객센터 1661-9991, 점심시간 12:30 ~ 13:30",5호선 굽은다리역(강도구민회관앞) 3번출구 근처,사랑플러스병원,02-1661-9991,02-880-0119,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,1000,1000,52,95,127.1436059,37.54668486,15:23.0
A1100239,서울특별시 성북구 종암로 191 (하월곡동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,"노숙자, 의료비체납자-심사를 거쳐 진료 진료는 자원봉사자가 하므로 안내시에 전화하여 진료가능과목 문의할것","길음역 10번, 미아삼거리 4번",사회복지법인성가소비녀회성가복지병원,02-940-1500,02-880-0119,1730,1630,1630,1630,1630,1630,1700,1700,830,900,900,900,900,800,1030,1030,27,33,127.0306834,37.60692777,15:23.0
A1100111,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)",B,병원,G099,응급의료기관 이외,2,진료과별 진료시간 다르므로 전화 문의 후 내원 바랍니다.,일요일 및 공휴일은 산부인과만 진료 가능. 방문 전 진료가능 여부 확인 후 이용바랍니다.,경남아너스빌아파트 부근,삼성미래여성병원,02-2682-2100,02-880-0119,1900,1900,1900,1900,1900,1300,1300,1300,900,900,900,900,900,800,900,900,83,42,126.840444,37.49124139,15:23.0
A1100010,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",A,종합병원,G006,지역응급의료센터,1,"휴게시간 13:00-14:00(목,토요일 제외) 접수마감 월,화,금 17:50/ 수 19:50/ 목,토 12:50 진료 마감 10분 전까지 내원 시 접수 가능합니다.",외래진료시간은 진료과목별 운영,일원역 1번 출구,삼성서울병원,02-3410-2114,02-3410-2060,1530,1530,1530,1530,1530,1300,1600,1300,830,830,830,830,830,900,1000,830,63,51,127.0866825,37.48851613,15:23.0
A1100021,서울특별시 동대문구 망우로 82 (휘경동),A,종합병원,G006,지역응급의료센터,1,휴게시간 12:30-13:30,"비뇨기과,피부과 클리닉",회기역 2번 출구,삼육서울병원,02-2244-0191,02-2210-3566,1700,1700,1700,1700,1230,1300,1700,1700,900,900,900,900,900,900,900,900,25,0,127.0653288,37.587992,15:24.0
A1117565,서울특별시 영등포구 영중로 59 (영등포동6가),B,병원,G099,응급의료기관 이외,2,"월, 화, 목 야간 도수치료(20:00까지) 운영 08/15 광복절 휴무",저희 상현한의원은 기본적으로 인체의 균형을 위하여 치료를 하고 있습니다. 일상 생활 하시면서 생긴 불균형을 여러가지 방법을 사용하고 바르게 하여 몸의 건강을 회복시키는 치료를 하고 있습니다. 생활에 지치신 분들에게 활력이 되는 상현한의원이 되겠습니다. 오늘도 행복한 하루 되세요. 감사합니다.,영등포시장역 4번 출구,새길병원,02-1522-0075,02-2210-3566,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,930,930,72,51,126.9046883,37.5216804,15:24.0
A1122743,"서울특별시 강남구 학동로 121, 새로운병원빌딩 지하1층일부~7층 (논현동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,저희 상현한의원은 기본적으로 인체의 균형을 위하여 치료를 하고 있습니다. 일상 생활 하시면서 생긴 불균형을 여러가지 방법을 사용하고 바르게 하여 몸의 건강을 회복시키는 치료를 하고 있습니다. 생활에 지치신 분들에게 활력이 되는 상현한의원이 되겠습니다. 오늘도 행복한 하루 되세요. 감사합니다.,신방화역 6번 출구,새로운병원,1577-0212,02-2210-3566,1800,1800,1800,1800,1800,1300,1500,1500,900,900,900,900,900,900,930,930,60,44,127.0243099,37.51226051,15:24.0
A1122222,"서울특별시 송파구 정의로8길 4, KDG70타워 2,3,4층 (문정동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,점심시간 1:00~2:00  토요일은 점심시간 없이 13:30,대흥역 2번출구 앞,새숨병원,02-449-7588,02-2210-3566,1730,1730,1730,1730,1730,1230,1500,1500,930,930,930,930,930,930,930,1000,58,36,127.1157087,37.48569902,15:24.0
A1100086,"서울특별시 금천구 시흥대로139길 8, 새움병원 (독산동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,척추관절,성도교회 맞은편,새움병원,1577-7015,02-2210-3566,1800,1800,1800,1800,1800,1300,1500,1500,900,900,900,900,900,900,930,1000,85,34,126.8976554,37.47305289,15:24.0
A1124052,서울특별시 노원구 노원로 416(상계동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,"저희 새하늘이비인후과는 2명의 이비인후과 전문의와 1명의 소아청소년과 전문의와 숙련된 간호사들이, 항상 환자분들의 입장에서,  환자분들을 위한 진료에 항상 최선을 다하고 있습니다.","시흥사거리, 홈플러스 시흥점 건너편",새힘병원,02-6956-1231,02-2210-3566,1800,1800,1800,1800,1800,1300,1300,1400,900,900,900,900,900,900,900,900,17,4,127.067906,37.65367736,15:24.0
A1100178,서울특별시 서초구 서초중앙로 39 (서초동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,일반진료/피부미용/화상/,3호선 남부터미널역6번출구,서울21세기병원,02-3477-0880,02-2210-3566,1800,1800,1800,1800,1800,1400,1400,1400,930,930,930,930,930,930,930,930,66,54,127.0157125,37.48527899,15:24.0
A1100253,"서울특별시 강서구 양천로 600, 파인블루빌딩 지하1층,2,7,8층 ,9,10호 (등촌동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,동대문구 전농동에서 13년 째 운영중인 한의원입니다 1시간 무료주차 가능,"증미역 인근, 태영아파트, 한사랑삼성아파트 인근",서울고든병원,1670-0124,02-2210-3566,1800,1800,1800,1800,1800,2400,2400,1600,900,900,900,900,900,0,0,1000,75,52,126.8646737,37.55547675,15:24.0
A1100224,서울특별시 동대문구 왕산로 137 (제기동),B,병원,G099,응급의료기관 이외,2,점심시간 12시30분~13시30분 08/15 광복절 휴무,점심시간 12:30~13:30,경동시장 사거리에 있으며 제기동 2번출구에서 100m 내려 오면 병원이 있습니다.,서울나은병원,1544-6003,02-2210-3566,1730,1730,1730,1730,1730,1300,1300,1300,900,900,900,900,900,900,900,900,25,71,127.0387314,37.57856929,15:24.0
A1100180,서울특별시 도봉구 도봉로 755(도봉동),B,병원,G099,응급의료기관 이외,2,점심시간 12:30~13:30 08/15 광복절 휴무,"삼양사거리역 1번 출구 도보 2m, 주차 가능.",1호선 방학역 1번 출구,서울노보스병원,02-3492-3251,02-2210-3566,1800,1800,1800,1800,1800,1300,1400,1800,900,900,900,900,900,900,1000,900,13,10,127.0436345,37.67193028,15:24.0
A1100017,서울특별시 종로구 대학로 101 (연건동),A,종합병원,G001,권역응급의료센터,1,정기휴무(매주 일요일),서울대학교병원 치과진료는 서울대학교 치과병원에 문의 및 별도 접수 필요,혜화역 3번 출구,서울대학교병원,02-1588-5700,02-2072-2475,1800,1800,1800,1800,1800,1330,1400,1400,800,800,800,800,800,800,900,900,30,80,126.9989631,37.57966609,15:25.0
A1107358,"서울특별시 강서구 강서로47가길 33, 덕산빌딩 2,3,4,5,6층 (내발산동)",B,병원,G099,응급의료기관 이외,2,병동 입원 진료는 24시간 운영 08/15 광복절 휴무,"대장항문, 유방/갑상선진료. 공단검진, 위대장내시경.5대암검진.치핵수술,탈장진료,장누수증후군,기능의학,피지낭종/지방종제거수술",우장산역 4번 출구,서울대효병원,02-2663-1114,02-6256-3362,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,900,900,76,39,126.8357622,37.55111024,15:25.0
A1107298,"서울특별시 금천구 시흥대로 230, 서평빌딩 5,6,7층 (시흥동)",B,병원,G099,응급의료기관 이외,2,병동 입원 진료는 24시간 운영 08/15 광복절 휴무,"대장항문, 유방/갑상선진료. 공단검진, 위대장내시경.5대암검진.치핵수술,탈장진료,장누수증후군,기능의학,피지낭종/지방종제거수술",시흥사거리 인근,서울대효병원,02-896-2114,02-6256-3362,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,900,900,86,28,126.9012483,37.45442844,15:25.0
A1100127,서울특별시 중랑구 망우로 476 (망우동),B,병원,G099,응급의료기관 이외,2,"정형외과, 통증의학과, 신경외과 진료시간 - 월요일 ~ 금요일 : 09:00 ~ 18:00 가정의학과 진료시간 - 월요일 ~ 금요일 : 08:00 ~ 17:00 (목요일은 오전진료만 가능) 08/15 광복절 휴무","서울시 중랑구 망우동에 위치한 관절,척추 전문 라본병원입니다.",서울특별시 중랑구 망우동에 위치한 금란교회 건너편에서 구리방향으로 50M 올라오시면 있습니다.,서울라본병원,02-2209-6677,02-6256-3362,1800,1800,1800,1800,1800,1300,1600,1400,900,900,900,900,900,900,1200,900,21,78,127.1050924,37.60031251,15:25.0
A1117132,서울특별시 강북구 도봉로 114 (미아동),B,병원,G099,응급의료기관 이외,2,X-ray/초음파/봉합/물리치료/소독,류마티스 질환 전문 진료 기관.,목동자이프라자상가 206호,서울좋은병원,02-6927-9119,02-966-1616,1830,1830,1830,1830,1830,1300,1600,2100,900,900,900,900,900,930,930,900,11,64,127.0292871,37.61930167,55:03.0
A1100081,서울특별시 강동구 천호대로 1043 (천호동),B,병원,G099,응급의료기관 이외,2,"일요일, 공휴일 외래 진료는 산부인과만 가능함  (위 진료시간은 산부인과의 경우이고 소아청소년과 및 내과, 외과는 병원 홈페이지를 참고하시기 바랍니다.) 산부인과 응급진료는 365일 24시간 운영","응급 분만등 산부인과 응급진료는 24시간 가능합니다 소아청소년과, 내과, 외과는 야간진료 및 일요일진료를 하지 않습니다 유방암,유방검진 가능",서울대입구역 3번 출구,서울미즈병원,02-470-9114,02-6256-3362,2030,2030,2030,2030,2030,1700,1300,1300,900,900,900,900,900,900,900,900,53,35,127.1281051,37.53762206,15:25.0
A1117566,"서울특별시 영등포구 여의대방로 145, 2~7층 (신길동, 세인트빌딩)",B,병원,G099,응급의료기관 이외,2,"내과는 화,목 18시까지만 진료합니다./점심시간 1시~2시 08/15 광복절 휴무","-  2인 대표원장 책임진료 시스템 - 서울대 치과대학병원 출신 전문의 상주 - 응급 진료, 구강내외 외상(봉합), 턱관절, 임플란트 관련, 교정진료",보라매역 6번 출구,서울바른병원,02-2098-8000,02-6256-3362,2000,2000,2000,2000,1800,1300,1400,1800,900,900,900,900,900,900,1000,1000,73,92,126.9199903,37.50021047,15:25.0
A1117563,"서울특별시 금천구 시흥대로 421 (독산동, 건국빌딩)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,"-  2인 대표원장 책임진료 시스템 - 서울대 치과대학병원 출신 전문의 상주 - 응급 진료, 구강내외 외상(봉합), 턱관절, 임플란트 관련, 교정진료",독산사거리,서울바른세상병원,02-2111-9700,02-6256-3362,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,900,900,85,23,126.8977407,37.47116193,15:25.0
A1100211,서울특별시 은평구 진흥로 191 (대조동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,교정전문/,6호선 불광역 3번출구,서울병원,02-357-0515,02-6256-3362,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,900,800,33,97,126.9307397,37.60883081,15:25.0
A1100190,서울특별시 송파구 오금로 290 (가락동),B,병원,G099,응급의료기관 이외,2,종합검진 08:00~17:00 외래진료- 08/15 광복절 휴무,교정전문/,"오금역 6번출구, 도보 약5분",서울병원,02-405-8500,02-6256-3362,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,900,800,57,0,127.1247082,37.50390523,15:25.0
A1121924,"서울특별시 강남구 도곡로 214, 롤스웰빌딩,지하2층, 지하1층, 지상1층 일부, 지상2~7층  (도곡동)",B,병원,G099,응급의료기관 이외,2,월요일 야간진료 20시 08/15 광복절 휴무,공단건강검진,"홍대입구역 교차로 서교타워 3,5층",서울본브릿지병원,18990090,02-6256-3362,1730,1730,1730,1730,1730,1300,1700,1800,900,900,900,900,900,900,900,900,62,72,127.0424176,37.49246165,15:25.0
A1117247,서울특별시 송파구 송이로 148 (가락동),B,병원,G099,응급의료기관 이외,2,척추/관절 주말 진료(일요일) 12:00~17:30 08/15 광복절 휴무,소아정형외과/신경외과/영상의학과/산부인과/내과/건강검진,경찰병원역 4번 출구 도보 100M,서울석병원,02-403-7585,02-6256-3362,2400,2400,2400,2400,2400,2400,2400,2400,900,900,900,900,900,900,900,900,58,29,127.1240257,37.49373729,15:25.0
A1100050,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",A,종합병원,G007,지역응급의료기관,1,"13:00~14:00 점심시간  매달 1,3번째 일요일 정기 휴무","외래x, 입원만 가능",청량리역 3번 출구,서울성심병원,02-966-1616,02-966-1616,1740,1730,1740,1730,1740,1300,1700,1700,900,900,900,900,900,900,900,900,24,88,127.0498381,37.58419129,15:25.0
A1122531,"서울특별시 송파구 위례서로 248, 지하1층, 2층, 5~12층 (거여동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,미용성형/,청량리역 3번 출구,서울세계로병원,02-1670-9111,02-966-1616,1800,1800,1800,1800,1800,1300,1700,1700,900,900,900,900,900,900,900,900,57,90,127.1422629,37.48664275,15:25.0
A1126176,"서울특별시 관악구 남부순환로 1814, 대연빌딩 3,4,8,9층 (봉천동)",B,병원,G099,응급의료기관 이외,2,13:00~14:00 점심시간  16:00 접수마감 (토요일 12:30 접수마감),미용성형/,서울특별시청 뒷편,서울센트럴병원,1600-3565,02-966-1616,1800,1800,1800,1800,1800,1300,1800,1700,900,900,900,900,900,900,1000,900,87,87,126.9515661,37.48103582,15:25.0
A1100135,"서울특별시 중구 다산로 78, 송도병원 (신당동)",B,병원,G099,응급의료기관 이외,2,대장항문외과 365일 24시간 진료/ 월요일 저녁 병원장 진료,대장항문외과 전문병원/그외 진료과는 외래만 가능(입원수술불가),약수역 7번 출구,서울송도병원,02-2231-0900,02-966-1616,1900,1900,1900,1900,1900,1200,1400,1230,730,730,730,730,730,800,900,900,45,97,127.0083817,37.5511666,15:25.0
A1120270,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,대장항문외과 전문병원/그외 진료과는 외래만 가능(입원수술불가),등촌역 6번 출구,서울숭인병원,02-737-7582,02-966-1616,1800,1800,1800,1800,1800,1400,1400,1400,900,900,900,900,900,1000,1000,1000,31,15,127.0203524,37.57408054,15:25.0
A1100210,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 3,4,5,6,7,층 8,9호 (내발산동)",B,병원,G099,응급의료기관 이외,2,점심시간 13:00~14;00,,한신한진아파트 상가,서울스타병원,02-2604-9300,02-966-1616,1800,1800,1800,1800,1800,1300,1400,1830,900,900,900,900,900,900,1000,930,76,32,126.8362276,37.5532304,15:25.0
A1125103,"서울특별시 서초구 효령로 331, GL(지엘)빌딩 지하1~3층,2~8층 (서초동)",B,병원,G099,응급의료기관 이외,2,재활/통증 센터- 08:30~17:30 건강 증진 센터- 07:00~16:00 건강 증진 센터- 토요일 격주 운영,토요일 격주진료,신분당선 강남역4번출구에서 뱅뱅사거리 방향,서울안강병원,02-1899-3210,02-966-1616,1730,1730,1730,1730,1730,1500,1330,1330,830,830,830,830,830,900,900,900,66,43,127.0203545,37.48640301,15:25.0
A1100087,"서울특별시 마포구 토정로 271, 대현빌딩 지하1층,지상2~6층 (용강동)",B,병원,G099,응급의료기관 이외,2,"응급진료 00:00~24:00- 야간, 휴일 응급외과수술(전문의) 점심시간 12:30~13:30","안면외상, 수지접합등 외상전문 병원으로  전문의 수술 가능합니다.","마포역 2번출구, 공덕역 1번출구",서울연세병원,02-2293-7582,02-966-1616,1800,1800,1800,1800,1800,0,0,1400,900,900,900,900,900,0,0,900,41,59,126.9403106,37.54246248,15:26.0
A1100107,"서울특별시 도봉구 도봉로 683, 5,6,7층 (방학동)",B,병원,G099,응급의료기관 이외,2,점심시간 13:30~14:30,"소아, 청소년 전문 정신건강의학과 병원","도봉소방서 맞은편 동성빌딩 5,6,7,층 성모생병원",성모샘병원,02-951-0552,02-902-9119,1830,1830,1830,1830,1830,1300,1300,1300,930,930,930,930,930,1000,1000,900,13,40,127.0419359,37.66548952,55:21.0
A1100186,서울특별시 강북구 도봉로 181 (미아동),B,병원,G099,응급의료기관 이외,2,이물제거/후두내시경/수액처치/,"재활의학과.(뇌출혈,뇌졸중등 중추신경계 재활을 전문으로 하고 있습니다.)",미아역 5번 출구,성신병원,02-986-1313,02-902-9119,1800,1800,1800,1800,1800,1300,1900,1400,900,900,900,900,900,900,1030,900,11,70,127.026335,37.62495696,55:08.0
A1123233,"서울특별시 강서구 강서로 179, 6~10층 (화곡동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,"내과, 가정의학과, 건강검진, 통합기능의학 진료",6호선 응암역 4번출구 미성프라임펠리스아파트 맞은편,서울원병원,1544-5888,02-966-1616,1800,1800,1800,1800,1800,1300,1700,1800,900,900,900,900,900,900,900,900,77,14,126.8393222,37.54236276,15:26.0
A1122215,"서울특별시 강북구 도봉로 77, 지하2층~지하1층, 3층~8층층 (미아동)",B,병원,G099,응급의료기관 이외,2,"24시간 응급 진료, 수술 가능","내과, 가정의학과, 건강검진, 통합기능의학 진료",역삼역 3번출구,서울유병원,02-1670-8875,02-966-1616,1800,1800,1800,1800,1800,2400,2400,1800,900,900,900,900,900,0,0,900,12,5,127.0295518,37.61607301,15:26.0
A1100189,서울특별시 은평구 갈현로11길 30 (구산동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,항문(전문)/하지정맥/갑상선/유방/위내시경/대장내시경/봉합/화상/탈장,명일역 1번 출구,서울재활병원,02-6020-3000,02-966-1616,1730,1730,1730,1730,1730,1300,1300,1830,900,900,900,900,900,900,800,830,34,28,126.9063428,37.60561276,15:26.0
A1100029,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",A,종합병원,G007,지역응급의료기관,1,휴게시간 13:00-14:00(토요일 제외) 정기휴무(매주 일요일),항문(전문)/하지정맥/갑상선/유방/위내시경/대장내시경/봉합/화상/탈장,서대문 사거리 지하철 5호선 서대문역 4번 출구 10미터,서울적십자병원,02-2002-8000,02-2002-8888,1730,1730,1730,1730,1730,1400,1300,1830,830,830,830,830,830,930,800,830,31,81,126.9669986,37.56715536,15:26.0
A1100185,서울특별시 성북구 동소문로47길 8 (길음동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,서울대학교 치과대학을 졸업하고 삼성의료원에서 치주과를 전공한 원장님이 진료합니다. 평생 주치의로서 환자분 한분 한분을 가족과 같이 진료할 것을 약속드립니다. 예약전화를 주신 후에 내원해 주시면 더욱 편안하게 진료를 받으실 수 있습니다.,미아사거리역 4번 출구/미아사거리 인근,서울척병원,02-940-2000,02-2002-8888,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,1000,1000,27,29,127.02927,37.60886057,15:26.0
A1120523,"서울특별시 강서구 강서로 206, 1층일부,2~6층 (화곡동)",B,병원,G099,응급의료기관 이외,2,13:00~14:00 점심시간,임플란트/교정/보철/신경치료/충치치료/미백,교대역1번출구/,서울큰나무병원,02-2695-1155,02-2002-8888,1900,1900,1900,1900,1900,1330,1300,1830,900,900,900,900,900,900,900,900,76,98,126.8380428,37.54452539,15:26.0
A1121290,"서울특별시 동대문구 정릉천동로 102, 지하1층~지상4층 (제기동)",B,병원,G099,응급의료기관 이외,2,,임플란트/교정/보철/신경치료/충치치료/미백,"명동역 4번출구,남산쌍용플래티넘상가 203호",서울탑병원,02-2088-0580,02-2002-8888,1730,1730,1730,1730,1730,1330,1300,1900,830,830,830,830,830,830,900,1000,25,69,127.0360236,37.5814263,15:26.0
A1100022,서울특별시 동대문구 무학로 124 (용두동),A,종합병원,G007,지역응급의료기관,1,매달 3번째 일요일 정기 휴무,서울 강서구민의 건강증진+예방+교육을 전담하는 보건의료기관입니다.,제기동역 6번 출구,서울특별시동부병원,02-920-9114,02-920-9119,1730,1730,1730,1730,1730,1400,1400,2200,900,900,900,900,900,900,1000,1000,25,84,127.0314026,37.57539886,15:26.0
A1100040,서울특별시 동작구 보라매로5길 20 (신대방동),A,종합병원,G006,지역응급의료센터,1,매달 3번째 일요일 정기 휴무,서울 강서구민의 건강증진+예방+교육을 전담하는 보건의료기관입니다.,제기동역 6번 출구,서울특별시보라매병원,02-870-2114,02-870-2119,1700,1700,1700,1700,1700,1200,1400,2200,900,900,900,900,900,900,1000,1000,70,61,126.9240488,37.4937184,15:26.0
